student_id,name,gender,grade,subject,marks,attendance_%,study_hours_per_week,test_preparation,parental_education
STU1204,Kiara Mehta,Female,10,Mathematics,83.5,100.0,4.3,None,Bachelor's
STU1287,Priya Singh,Female,9,English,68.8,78.6,4.1,None,Bachelor's
STU1011,Anika Singh,Male,11,Social Studies,84.3,94.8,6.3,None,High School
STU1160,Ishaan Kapoor,Female,12,Computer Science,100.0,92.8,3.5,None,PhD
STU1069,Neha Patel,Female,12,Social Studies,90.9,99.0,2.3,Regular,High School
STU1226,Riya Patel,Female,10,English,82.3,80.9,4.3,Regular,Bachelor's
STU1093,Aarav Kumar,Male,12,English,90.0,77.7,5.2,None,Master's
STU1292,Riya Patel,Female,10,English,100.0,87.3,4.5,None,Bachelor's
STU1131,Meera Verma,Female,10,Science,93.3,100.0,3.6,Regular,Bachelor's
STU1019,Saanvi Verma,Female,10,Mathematics,72.2,79.7,5.0,Regular,High School
STU1082,Rohan Singh,Female,10,English,65.1,85.5,1.9,None,High School
STU1040,Neha Sharma,Male,12,Mathematics,100.0,69.3,5.9,Occasional,Bachelor's
STU1260,Tanvi Singh,Male,12,Mathematics,72.1,91.5,5.2,Occasional,Master's
STU1139,Aryan Sharma,Male,12,English,78.5,74.2,6.2,Regular,Bachelor's
STU1229,Zara Nair,Female,10,Computer Science,81.7,,6.2,None,Master's
STU1086,Meera Singh,Female,9,English,93.2,100.0,0.7,Occasional,High School
STU1076,Zara Nair,Male,10,Social Studies,79.0,87.3,2.7,None,PhD
STU1005,Aditya Mehta,Female,10,English,82.9,89.3,1.3,Occasional,Master's
STU1028,Neha Desai,Female,9,Science,81.6,98.7,0.0,Regular,High School
STU1001,Diya Kumar,Male,11,Computer Science,66.6,74.1,0.1,None,Bachelor's
STU1166,Reyansh Sharma,Male,9,Mathematics,98.7,79.3,6.2,None,High School
STU1079,Anika Desai,Female,12,Science,67.8,83.1,4.7,None,Bachelor's
STU1279,Simran Rao,Male,11,Mathematics,82.1,74.7,4.5,Occasional,Bachelor's
STU1260,Tanvi Singh,Male,12,English,80.4,91.5,5.2,Occasional,Master's
STU1264,Yash Reddy,Female,9,Science,100.0,87.9,6.9,Regular,High School
STU1177,Saanvi Gupta,Male,9,Social Studies,81.9,100.0,4.5,Occasional,Master's
STU1175,Riya Kumar,Female,12,Science,88.3,87.0,6.3,None,High School
STU1136,Aryan Gupta,Female,9,Science,82.0,85.1,4.4,Occasional,Master's
STU1038,Aarohi Rao,Female,9,Social Studies,82.5,85.4,3.8,Occasional,High School
STU1103,Anika Gupta,Female,12,Social Studies,94.2,93.3,3.7,None,High School
STU1052,Kabir Rao,Male,11,English,84.3,85.9,5.0,None,Bachelor's
STU1129,Kabir Iyer,Female,9,Computer Science,82.6,94.4,7.2,None,Master's
STU1244,Priya Chopra,Male,12,English,93.6,90.4,3.4,None,High School
STU1296,Aditya Joshi,Female,9,Science,,89.1,3.3,Occasional,High School
STU1123,Aditya Rao,Male,10,Computer Science,81.6,99.0,4.1,Occasional,Bachelor's
STU1253,Saanvi Singh,Female,11,Social Studies,81.5,82.7,3.0,Regular,Master's
STU1260,Tanvi Singh,Male,12,Social Studies,78.2,91.5,5.2,Occasional,Master's
STU1143,Krishna Sharma,Female,9,Social Studies,72.8,94.6,6.8,Occasional,High School
STU1120,Ananya Nair,Male,9,Social Studies,81.6,63.9,4.5,Occasional,Bachelor's
STU1134,Aditya Reddy,Male,12,Computer Science,74.5,82.5,2.0,Occasional,Bachelor's
STU1197,Rohan Verma,Male,11,Science,72.9,87.5,2.3,None,High School
STU1273,Neha Rao,Male,10,Mathematics,58.4,78.2,0.0,None,High School
STU1003,Rohan Iyer,Female,9,English,74.3,93.9,0.0,Regular,PhD
STU1210,Aarav Chopra,Female,10,Mathematics,82.1,96.1,4.1,Occasional,Bachelor's
STU1037,Arjun Kumar,Female,10,Science,63.5,70.4,2.6,None,Master's
STU1250,Zara Rao,Female,10,Mathematics,90.7,100.0,2.6,Occasional,High School
STU1140,Tanvi Sharma,Female,11,Science,80.7,97.2,6.0,Occasional,High School
STU1121,Aarav Iyer,Female,11,Computer Science,79.0,88.1,1.8,Regular,Bachelor's
STU1286,Aarav Nair,Male,11,Computer Science,82.8,89.1,1.0,Occasional,Bachelor's
STU1041,Vivaan Joshi,Female,11,Science,71.3,80.7,3.0,Occasional,PhD
STU1268,Arjun Joshi,Female,12,Computer Science,89.0,77.5,4.9,Occasional,Bachelor's
STU1244,Priya Chopra,Male,12,Computer Science,96.6,90.4,3.4,None,High School
STU1023,Vihaan Rao,Male,10,Social Studies,88.6,94.8,5.0,Regular,Bachelor's
STU1128,Neha Iyer,Male,10,Social Studies,70.6,73.6,1.8,Regular,High School
STU1194,Riya Singh,Female,9,Computer Science,60.0,71.8,1.7,None,Bachelor's
STU1118,Diya Gupta,Female,9,Social Studies,86.6,78.0,5.0,Regular,Bachelor's
STU1058,Sai Kapoor,Male,10,Computer Science,78.9,88.1,2.9,Occasional,Master's
STU1291,Saanvi Iyer,Female,9,Social Studies,84.5,89.0,5.6,None,Master's
STU1073,Sai Singh,Male,12,Computer Science,96.0,89.9,4.3,Regular,Bachelor's
STU1223,Ananya Chopra,Female,11,Social Studies,100.0,100.0,4.8,None,Bachelor's
STU1236,Kabir Patel,Female,12,English,86.4,93.3,2.1,None,High School
STU1097,Aadhya Joshi,Male,11,Computer Science,92.2,88.1,7.7,Occasional,Bachelor's
STU1140,Tanvi Sharma,Female,11,English,81.6,97.2,6.0,Occasional,High School
STU1286,Aarav Nair,Male,11,Science,83.2,89.1,1.0,Occasional,Bachelor's
STU1286,Aarav Nair,Male,11,English,,89.1,1.0,Occasional,Bachelor's
STU1169,Sai Singh,Female,11,Social Studies,78.3,55.7,4.7,Occasional,High School
STU1089,Rohan Mehta,Female,9,English,97.7,100.0,1.2,NONE  ,Bachelor's
STU1004,Tanvi Mehta,Female,9,Social Studies,78.4,95.7,4.5,Occasional,High School
STU1165,Sai Mehta,Female,10,Mathematics,69.6,90.1,4.6,Occasional,Master's
STU1254,Diya Kumar,Female,10,Science,76.5,78.8,3.7,None,High School
STU1100,Anika Gupta,Female,10,Science,86.0,88.7,1.4,Occasional,Bachelor's
STU1096,Aadhya Verma,Female,11,Computer Science,88.6,100.0,3.0,Regular,Bachelor's
STU1066,Vivaan Gupta,Male,11,Mathematics,98.5,86.6,3.0,None,High School
STU1033,Aryan Reddy,Male,11,English,82.6,90.0,2.7,Regular,High School
STU1057,Kabir Kapoor,Male,11,English,65.9,65.0,1.7,None,Master's
STU1128,Neha Iyer,Male,10,Mathematics,78.8,73.6,1.8,Regular,High School
STU1229,Zara Nair,Female,10,Science,96.3,86.4,6.2,None,Master's
STU1029,Aarav Nair,Female,10,Science,72.1,83.3,1.8,Occasional,Bachelor's
STU1120,Ananya Nair,Male,9,English,80.4,63.9,4.5,Occasional,Bachelor's
STU1238,Ira Verma,Male,12,Mathematics,75.7,67.5,4.8,Occasional,PhD
STU1034,Anika Verma,Female,10,English,90.7,79.6,4.0,Occasional,Bachelor's
STU1065,Ira Singh,Female,11,Mathematics,82.0,85.3,2.4,Occasional,PhD
STU1231,Myra Patel,Male,12,Social Studies,87.0,85.5,3.0,Occasional,Bachelor's
STU1002,Ira Patel,Male,9,Social Studies,83.8,96.4,2.4,None,High School
STU1021,Zara Nair,Male,10,Social Studies,75.4,83.5,3.3,Occasional,Bachelor's
STU1141,Anika Gupta,Male,10,English,87.7,83.4,5.5,Occasional,Bachelor's
STU1245,Aarohi Reddy,Female,11,Social Studies,81.2,78.0,2.7,None,Bachelor's
STU1078,Riya Verma,Male,10,English,61.9,87.9,4.3,Regular,High School
STU1258,Zara Reddy,Male,12,Computer Science,62.7,92.3,2.9,None,Master's
STU1006,Rohan Mehta,Male,11,Computer Science,85.8,97.5,0.9,Occasional,High School
STU1174,Vihaan Rao,Female,10,Computer Science,85.4,76.3,5.4,Regular,Bachelor's
STU1019,Saanvi Verma,Female,10,Social Studies,65.5,79.7,5.0,Regular,High School
STU1157,Saanvi Verma,Male,10,Social Studies,82.5,97.7,4.2,Regular,High School
STU1074,Ananya Chopra,Female,9,Mathematics,80.6,86.8,3.2,None,High School
STU1098,Yash Sharma,Female,9,English,85.7,91.6,3.5,Regular,High School
STU1102,Aadhya Iyer,Female,9,Science,67.6,72.8,2.5,None,Master's
STU1214,Simran Patel,Female,12,English,100.0,100.0,5.1,Occasional,Bachelor's
STU1163,Neha Kapoor,Male,11,English,82.4,78.6,2.3,Occasional,PhD
STU1241,Zara Gupta,Female,9,Science,55.4,89.2,2.4,Regular,Bachelor's
STU1225,Saanvi Verma,Male,9,Social Studies,97.4,100.0,3.0,Regular,High School
STU1105,Reyansh Sharma,Male,12,Mathematics,53.6,76.8,3.9,None,Bachelor's
STU1129,Kabir Iyer,Female,9,Social Studies,82.3,94.4,7.2,None,Master's
STU1035,Aarohi Mehta,Female,12,Computer Science,65.9,71.2,3.2,Occasional,High School
STU1004,Tanvi Mehta,Female,9,Computer Science,73.8,95.7,4.5,Occasional,High School
STU1022,Simran Iyer,Female,12,Mathematics,89.0,100.0,2.4,Occasional,Bachelor's
STU1003,Rohan Iyer,Female,9,Mathematics,76.4,93.9,0.0,Regular,PhD
STU1280,Ira Nair,Male,9,Science,82.6,85.1,3.9,None,Bachelor's
STU1176,Aditya Chopra,Male,9,English,86.6,83.7,6.5,Occasional,High School
STU1090,Tanvi Desai,Male,10,Mathematics,86.5,78.4,2.9,None,High School
STU1165,Sai Mehta,Female,10,Computer Science,71.7,90.1,4.6,Occasional,Master's
STU1029,Aarav Nair,Female,10,English,64.6,83.3,1.8,Occasional,Bachelor's
STU1082,Rohan Singh,Female,10,Mathematics,76.9,85.5,1.9,None,High School
STU1042,Dev Kumar,Male,11,Mathematics,85.6,84.4,4.0,None,Bachelor's
STU1254,Diya Kumar,Female,10,English,68.0,78.8,3.7,None,High School
STU1143,Krishna Sharma,Female,9,Science,78.0,94.6,6.8,Occasional,High School
STU1238,Ira Verma,Male,12,English,84.5,67.5,4.8,Occasional,PhD
STU1049,Arjun Chopra,Male,12,Computer Science,88.4,100.0,2.7,Occasional,Master's
STU1237,Aarohi Sharma,Female,10,Science,79.7,82.9,2.3,Occasional,Bachelor's
STU1188,Arjun Kumar,Female,11,Social Studies,,75.1,2.9,Regular,High School
STU1147,Aditya Singh,Female,11,English,90.2,96.6,0.0,Occasional,Bachelor's
STU1019,Saanvi Verma,Female,10,Computer Science,55.8,79.7,5.0,Regular,High School
STU1000,Reyansh Iyer,Male,11,Computer Science,96.7,88.8,1.5,None,Master's
STU1147,Aditya Singh,Female,11,Social Studies,91.9,96.6,0.0,Occasional,Bachelor's
STU1009,Aryan Patel,Male,12,Science,91.9,84.6,7.9,None,Master's
STU1106,Priya Iyer,Female,11,Science,63.2,100.0,4.2,Occasional,High School
STU1243,Aarohi Singh,Male,11,Social Studies,94.7,71.4,1.8,None,Master's
STU1213,Neha Singh,Female,11,English,73.1,82.7,5.2,Occasional,High School
STU1235,Myra Patel,Female,10,English,81.0,99.1,3.1,Occasional,Bachelor's
STU1037,Arjun Kumar,Female,10,Computer Science,57.6,70.4,2.6,None,Master's
STU1048,Kiara Desai,Male,9,Science,71.3,88.0,3.8,None,Bachelor's
STU1167,Aadhya Iyer,Male,12,English,92.3,76.7,6.7,Occasional,High School
STU1272,Ananya Desai,Male,10,Science,72.8,84.2,2.0,None,Master's
STU1193,Diya Joshi,Male,10,English,84.2,67.1,6.0,Occasional,Master's
STU1100,Anika Gupta,Female,10,Social Studies,79.2,88.7,1.4,Occasional,Bachelor's
STU1266,Krishna Joshi,Female,11,Computer Science,85.3,87.1,1.4,None,Master's
STU1052,Kabir Rao,Male,11,Social Studies,89.2,85.9,5.0,None,Bachelor's
STU1090,Tanvi Desai,Male,10,Science,82.4,78.4,2.9,None,High School
STU1217,Ananya Desai,Female,9,English,68.8,63.2,4.7,None,Bachelor's
STU1119,Aryan Reddy,Male,9,English,79.1,83.9,4.4,None,PhD
STU1062,Aryan Nair,Female,9,Social Studies,64.7,86.7,1.3,Regular,High School
STU1022,Simran Iyer,Female,12,Social Studies,85.1,100.0,2.4,Occasional,Bachelor's
STU1202,Ananya Verma,Female,12,Social Studies,84.1,95.7,3.0,Occasional,High School
STU1010,Sai Reddy,Male,11,Science,82.1,96.1,2.6,None,High School
STU1141,Anika Gupta,Male,10,Mathematics,82.9,83.4,5.5,Occasional,Bachelor's
STU1045,Aarohi Nair,Female,12,Social Studies,78.4,87.0,1.6,None,PhD
STU1109,Ira Nair,Male,10,Science,79.0,78.2,5.8,None,Bachelor's
STU1068,Aditya Chopra,Female,12,Computer Science,61.7,75.8,1.7,None,High School
STU1189,Simran Verma,Male,10,English,77.8,65.9,2.6,Regular,Bachelor's
STU1216,Priya Iyer,Female,9,Science,88.0,97.7,2.1,Occasional,Bachelor's
STU1061,Vivaan Mehta,Female,11,Social Studies,99.1,82.3,6.1,None,High School
STU1132,Rohan Verma,Female,12,Computer Science,79.7,97.0,2.0,Regular,Bachelor's
STU1247,Anika Iyer,Male,9,Social Studies,77.4,73.4,1.7,None,Master's
STU1284,Aryan Patel,Female,10,Computer Science,69.0,94.9,2.4,Occasional,High School
STU1276,Reyansh Chopra,Male,11,Science,72.9,54.6,4.3,Occasional,Master's
STU1124,Dev Iyer,Female,12,Science,92.7,92.1,5.3,None,Bachelor's
STU1032,Aditya Nair,Male,9,Computer Science,75.1,100.0,2.3,None,Master's
STU1196,Rohan Kumar,Male,12,Computer Science,61.2,85.9,1.1,Regular,High School
STU1112,Tanvi Joshi,Male,9,Computer Science,81.5,73.8,3.5,None,Master's
STU1041,Vivaan Joshi,Female,11,English,71.2,80.7,3.0,Occasional,PhD
STU1112,Tanvi Joshi,Male,9,English,75.7,73.8,3.5,None,Master's
STU1071,Ishaan Singh,Male,11,Social Studies,92.5,91.5,3.8,Regular,High School
STU1290,Myra Joshi,Male,11,Social Studies,75.7,86.1,0.8,None,High School
STU1168,Aryan Reddy,Male,11,Mathematics,75.8,79.9,0.0,Regular,Bachelor's
STU1293,Sai Gupta,Female,11,Computer Science,78.3,75.0,4.1,Occasional,Bachelor's
STU1068,Aditya Chopra,Female,12,Mathematics,44.8,75.8,1.7,None,High School
STU1004,Tanvi Mehta,Female,9,Mathematics,81.0,95.7,4.5,Occasional,High School
STU1166,Reyansh Sharma,Male,9,Social Studies,96.3,79.3,6.2,None,High School
STU1283,Diya Desai,Male,10,Social Studies,90.1,79.5,2.1,Occasional,Bachelor's
STU1299,Kiara Desai,Female,11,English,74.3,74.0,3.1,Occasional,Bachelor's
STU1075,Aarohi Kumar,Male,12,Social Studies,91.1,100.0,0.8,Occasional,High School
STU1055,Aarav Singh,Male,11,Mathematics,73.2,95.0,3.9,None,PhD
STU1172,Yash Singh,Male,12,English,71.6,68.6,5.4,None,Master's
STU1149,Saanvi Sharma,Female,12,Social Studies,71.7,70.8,3.3,Regular,Master's
STU1069,Neha Patel,Female,12,Science,85.6,99.0,2.3,Regular,High School
STU1005,Aditya Mehta,Female,10,Science,74.9,89.3,1.3,Occasional,Master's
STU1148,Rohan Joshi,Female,10,Computer Science,96.0,95.2,2.5,Regular,High School
STU1246,Aryan Chopra,Male,9,Social Studies,82.4,82.8,4.2,None,Bachelor's
STU1283,Diya Desai,Male,10,Science,82.9,79.5,2.1,Occasional,Bachelor's
STU1181,Reyansh Sharma,Male,12,English,64.4,81.2,1.2,Regular,Bachelor's
STU1140,Tanvi Sharma,Female,11,Computer Science,83.0,97.2,6.0,Occasional,High School
STU1173,Diya Desai,Male,10,Computer Science,51.1,82.3,1.7,None,High School
STU1236,Kabir Patel,Female,12,Social Studies,95.0,93.3,2.1,None,High School
STU1296,Aditya Joshi,Female,9,English,96.9,89.1,3.3,Occasional,High School
STU1215,Priya Iyer,Male,11,Science,86.4,76.4,4.6,Occasional,Bachelor's
STU1072,Priya Verma,Female,9,Science,48.8,87.7,2.6,Regular,High School
STU1239,Simran Mehta,Male,10,Social Studies,83.0,92.7,3.1,Regular,High School
STU1025,Kiara Nair,Male,11,Social Studies,85.7,80.9,4.6,Occasional,Bachelor's
STU1298,Ishaan Joshi,Male,9,Mathematics,100.0,89.5,4.2,Occasional,Bachelor's
STU1270,Vivaan Joshi,Male,12,Mathematics,92.7,98.1,6.5,None,Bachelor's
STU1291,Saanvi Iyer,Female,9,Mathematics,77.0,89.0,5.6,None,Master's
STU1200,Myra Reddy,Male,10,English,89.3,83.3,1.9,Occasional,High School
STU1172,Yash Singh,Male,12,Mathematics,72.7,68.6,5.4,None,Master's
STU1184,Ananya Singh,Male,9,Mathematics,86.4,96.5,2.1,None,Bachelor's
STU1240,Rohan Kumar,Female,12,Science,87.1,87.0,5.1,Regular,Master's
STU1030,Tanvi Mehta,Male,9,Science,81.6,84.4,2.6,None,High School
STU1191,Riya Nair,Male,9,English,63.2,92.6,1.3,Occasional,Master's
STU1286,Aarav Nair,Male,11,Social Studies,70.5,89.1,1.0,Occasional,Bachelor's
STU1055,Aarav Singh,Male,11,Social Studies,73.1,95.0,3.9,NONE  ,PhD
STU1281,Anika Mehta,Male,9,Computer Science,69.6,73.9,0.0,Regular,Master's
STU1227,Kabir Kapoor,Female,12,English,80.8,100.0,4.3,Occasional,High School
STU1182,Arjun Joshi,Male,9,Social Studies,81.6,89.1,2.1,None,Bachelor's
STU1101,Zara Kumar,Female,12,English,54.5,67.8,0.5,Occasional,High School
STU1081,Zara Verma,Female,11,English,72.4,94.4,1.4,None,Bachelor's
STU1189,Simran Verma,Male,10,Science,82.7,65.9,2.6,Regular,Bachelor's
STU1119,Aryan Reddy,Male,9,Mathematics,89.5,83.9,4.4,None,PhD
STU1079,Anika Desai,Female,12,English,75.7,83.1,4.7,None,Bachelor's
STU1130,Aadhya Kumar,Male,10,Social Studies,59.4,76.6,4.3,None,PhD
STU1175,Riya Kumar,Female,12,Social Studies,81.4,87.0,6.3,None,High School
STU1100,Anika Gupta,Female,10,Mathematics,84.0,88.7,1.4,Occasional,Bachelor's
STU1208,Dev Chopra,Male,11,English,90.7,96.0,5.3,Occasional,High School
STU1132,Rohan Verma,Female,12,Mathematics,65.1,97.0,2.0,Regular,Bachelor's
STU1237,Aarohi Sharma,Female,10,Social Studies,82.3,82.9,2.3,Occasional,Bachelor's
STU1202,Ananya Verma,Female,12,Mathematics,89.5,95.7,3.0,Occasional,High School
STU1156,Meera Desai,Male,10,Science,57.7,97.9,2.8,None,High School
STU1253,Saanvi Singh,Female,11,English,76.0,82.7,3.0,Regular,Master's
STU1154,Reyansh Iyer,Male,12,Science,90.9,90.2,3.2,Occasional,Master's
STU1208,Dev Chopra,Male,11,Computer Science,83.1,96.0,5.3,Occasional,High School
STU1066,Vivaan Gupta,Male,11,Mathematics,98.5,86.6,3.0,None,High School
STU1233,Simran Mehta,Male,11,Social Studies,78.2,91.2,5.7,Regular,Master's
STU1034,Anika Verma,Female,10,Mathematics,87.0,79.6,4.0,Occasional,Bachelor's
STU1195,Vivaan Kapoor,Male,11,Science,99.2,98.4,5.7,Occasional,PhD
STU1210,Aarav Chopra,Female,10,Science,79.8,96.1,4.1,Occasional,Bachelor's
STU1269,Krishna Rao,Female,12,Science,83.0,96.1,2.2,None,High School
STU1223,Ananya Chopra,Female,11,English,94.2,100.0,4.8,None,Bachelor's
STU1052,Kabir Rao,Male,11,Computer Science,89.9,85.9,5.0,None,Bachelor's
STU1147,Aditya Singh,Female,11,Computer Science,97.6,96.6,0.0,Occasional,Bachelor's
STU1206,Dev Kumar,Male,9,Social Studies,57.8,91.6,4.4,None,Bachelor's
STU1266,Krishna Joshi,Female,11,Social Studies,77.3,87.1,1.4,None,Master's
STU1171,Ishaan Chopra,Female,9,English,75.4,92.5,3.2,Regular,Master's
STU1085,Anika Reddy,Female,11,Science,93.1,85.5,7.4,Regular,High School
STU1138,Vivaan Reddy,Male,12,Computer Science,80.6,74.9,4.5,Regular,High School
STU1230,Aryan Chopra,Male,12,Mathematics,71.3,72.5,3.8,Regular,Bachelor's
STU1204,Kiara Mehta,Female,10,Social Studies,81.4,100.0,4.3,None,Bachelor's
STU1204,Kiara Mehta,Female,10,English,82.5,100.0,4.3,None,Bachelor's
STU1154,Reyansh Iyer,Male,12,Computer Science,91.2,90.2,3.2,Occasional,Master's
STU1293,Sai Gupta,Female,11,Mathematics,71.5,75.0,4.1,Occasional,Bachelor's
STU1042,Dev Kumar,Male,11,Social Studies,81.7,84.4,4.0,None,Bachelor's
STU1162,Saanvi Desai,Female,9,Social Studies,90.4,80.3,3.5,Occasional,PhD
STU1230,Aryan Chopra,Male,12,English,73.0,72.5,3.8,Regular,Bachelor's
STU1294,Neha Mehta,Male,11,Mathematics,56.6,71.1,0.8,None,Master's
STU1064,Arjun Reddy,Female,10,Computer Science,86.7,93.8,4.0,Occasional,PhD
STU1065,Ira Singh,Female,11,Science,85.0,85.3,2.4,Occasional,PhD
STU1136,Aryan Gupta,Female,9,Mathematics,76.1,85.1,4.4,Occasional,Master's
STU1039,Ananya Desai,Female,9,Computer Science,67.2,74.5,4.3,None,Master's
STU1237,Aarohi Sharma,Female,10,English,87.0,82.9,2.3,Occasional,Bachelor's
STU1070,Sai Nair,Male,10,Science,80.6,78.2,6.1,Occasional,PhD
STU1192,Ira Joshi,Female,11,Science,82.7,80.7,0.8,Occasional,High School
STU1122,Aryan Rao,Female,10,Science,59.0,92.8,2.1,Regular,High School
STU1166,Reyansh Sharma,Male,9,English,100.0,79.3,6.2,None,High School
STU1043,Kiara Joshi,Female,10,Science,70.2,78.2,3.9,Regular,High School
STU1277,Riya Patel,Male,12,Mathematics,73.0,82.2,1.6,Occasional,High School
STU1050,Krishna Patel,Male,10,Social Studies,76.8,71.5,4.0,Occasional,PhD
STU1030,Tanvi Mehta,Male,9,English,92.0,84.4,2.6,None,High School
